wavelength (nm);5_8_2023;5_8_2024;5_8_2025;5_8_2026;5_8_2027;5_8_2028;5_8_2029;5_8_2030;5_8_2031;5_8_2032;12/06/2023;12/06/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;29/05/2023;08/05/2023;08/05/2023;22_05_2023;22_05_2024;22_05_2025;22_05_2026;22_05_2027;22_05_2028;22_05_2029;22_05_2030;22_05_2031;22_05_2032;22_05_2033;22_05_2034;22_05_2035;22_05_2036;22_05_2037;22_05_2038;22_05_2039
370;22.839;34.7;29.766;32.016;16.807;16.149;25.174;19.391;31.644;31.42;23,964;23,944;5.261;6.021;8.254;6.852;7.585;12.626;13.637;9.789;34.845;7.182;-0.64;-0.565;5.308;12.193;28.717;32.13;5.468;13.689;26.003;1.808;5.245;0.404;1.894;0.363;0.475;0.273;12.621;5.697;3.107
370.5;22.354;34.161;29.389;31.659;16.51;15.909;24.726;18.94;31.181;30.962;24,037;24,047;5.235;5.878;8.158;6.807;7.498;12.498;13.43;9.669;34.775;7.22;-0.589;-0.512;5.144;11.954;28.1;31.56;5.374;13.461;25.474;1.764;5.1;0.413;1.793;0.34;0.453;0.265;12.415;5.639;3.021
371;22.007;33.652;29.152;31.397;16.382;15.718;24.458;18.635;30.804;30.562;24,124;24,145;5.164;5.741;8.027;6.794;7.416;12.344;13.24;9.557;34.667;7.21;-0.503;-0.5;5.018;11.744;27.614;31.083;5.372;13.23;25.007;1.79;5.051;0.489;1.745;0.33;0.446;0.258;12.24;5.585;2.954
371.5;21.664;33.218;28.784;31.181;16.277;15.544;24.174;18.339;30.487;30.157;24,252;24,268;5.059;5.571;7.993;6.816;7.369;12.24;13.131;9.49;34.606;7.201;-0.513;-0.503;4.881;11.541;27.148;30.58;5.332;12.967;24.661;1.755;4.969;0.441;1.66;0.304;0.452;0.256;12.165;5.564;2.832
372;21.186;32.65;28.421;30.826;16.13;15.293;23.803;17.952;29.996;29.696;24,348;24,380;4.999;5.473;7.934;6.867;7.328;12.198;13.108;9.433;34.595;7.198;-0.571;-0.55;4.819;11.328;26.824;30.237;5.255;12.786;24.403;1.68;4.888;0.402;1.613;0.276;0.476;0.252;12.111;5.555;2.755
372.5;20.763;32.07;28.089;30.531;15.968;15.113;23.558;17.61;29.523;29.316;24,513;24,488;4.952;5.447;7.829;6.87;7.291;12.048;12.859;9.114;34.507;7.119;-0.754;-0.704;4.829;11.152;26.487;29.752;5.21;12.538;24.035;1.674;4.786;0.412;1.724;0.385;0.5;0.251;12.014;5.454;2.754
373;20.331;31.529;27.917;30.304;15.804;14.942;23.289;17.34;29.195;28.904;24,541;24,584;5.069;5.489;7.664;6.742;7.163;11.774;12.545;8.863;34.324;6.991;-0.813;-0.761;4.723;11.031;26.222;29.437;4.997;12.363;23.813;1.587;4.854;0.319;1.645;0.344;0.517;0.249;11.97;5.449;2.662
373.5;20.078;31.152;27.776;30.21;15.639;14.834;23.146;17.145;28.952;28.578;24,577;24,715;5.181;5.454;7.535;6.629;7.132;11.637;12.449;8.757;34.295;6.981;-0.867;-0.829;4.647;10.871;25.861;28.952;4.833;12.164;23.392;1.606;4.803;0.279;1.658;0.298;0.569;0.242;11.745;5.306;2.64
374;19.813;30.769;27.571;29.947;15.428;14.619;22.855;16.879;28.605;28.237;24,699;24,813;5.175;5.365;7.408;6.549;7.122;11.591;12.405;8.784;34.279;6.99;-0.872;-0.791;4.501;10.648;25.497;28.356;4.703;11.893;22.97;1.602;4.703;0.23;1.639;0.26;0.588;0.239;11.435;5.157;2.603
374.5;19.38;30.262;27.314;29.695;15.103;14.323;22.457;16.534;28.087;27.683;24,718;24,947;5.091;5.342;7.287;6.48;7.122;11.468;12.287;8.731;34.27;6.982;-0.83;-0.753;4.362;10.421;25.07;27.731;4.654;11.642;22.467;1.586;4.695;0.235;1.714;0.259;0.592;0.235;11.131;4.972;2.598
375;18.97;29.81;27.073;29.429;14.923;14.123;22.066;16.151;27.578;27.104;24,781;25,052;5.025;5.301;7.142;6.354;7.024;11.227;12.077;8.507;34.133;6.918;-0.829;-0.748;4.228;10.213;24.578;27.19;4.542;11.413;21.937;1.588;4.56;0.22;1.767;0.216;0.589;0.228;10.928;4.811;2.499
375.5;18.62;29.359;26.806;29.183;14.784;13.931;21.722;15.768;27.017;26.541;24,905;25,094;4.978;5.202;7.008;6.245;6.934;10.967;11.871;8.319;34.054;6.891;-0.785;-0.718;4.053;10.001;24.005;26.692;4.495;11.244;21.465;1.566;4.492;0.236;1.754;0.249;0.57;0.222;10.772;4.724;2.379
376;18.346;28.918;26.541;28.841;14.608;13.717;21.346;15.389;26.535;26.003;24,943;25,137;4.872;5.123;6.877;6.145;6.826;10.777;11.649;8.115;33.857;6.801;-0.617;-0.638;4.029;9.816;23.559;26.293;4.501;11.035;21.063;1.571;4.381;0.263;1.727;0.237;0.542;0.212;10.659;4.597;2.308
376.5;17.974;28.457;26.159;28.563;14.51;13.513;21.054;15.08;26.02;25.531;24,788;24,766;4.778;5.059;6.836;6.087;6.743;10.684;11.58;8.049;33.776;6.78;-0.576;-0.63;3.949;9.628;23.097;25.87;4.461;10.862;20.771;1.59;4.291;0.225;1.671;0.268;0.512;0.208;10.627;4.57;2.315
377;17.492;27.942;25.868;28.238;14.398;13.39;20.789;14.756;25.583;25.132;24,926;24,577;4.614;4.939;6.787;6.078;6.672;10.505;11.541;7.918;33.759;6.77;-0.564;-0.655;3.894;9.461;22.765;25.558;4.387;10.819;20.507;1.538;4.28;0.223;1.568;0.21;0.496;0.205;10.674;4.621;2.279
377.5;17.178;27.628;25.541;28.022;14.272;13.282;20.66;14.503;25.286;24.853;24,897;24,262;4.578;4.919;6.734;6.065;6.652;10.454;11.433;7.859;33.781;6.809;-0.607;-0.716;3.952;9.301;22.404;25.136;4.401;10.66;20.21;1.558;4.24;0.313;1.623;0.282;0.443;0.207;10.657;4.605;2.33
378;16.925;27.309;25.401;27.809;14.095;13.174;20.488;14.345;25.049;24.532;24,448;24,023;4.604;4.877;6.666;6.028;6.627;10.319;11.376;7.856;33.781;6.88;-0.593;-0.668;3.894;9.263;22.133;24.956;4.266;10.544;20.128;1.535;4.346;0.331;1.533;0.242;0.431;0.204;10.689;4.655;2.307
378.5;16.639;26.912;25.216;27.573;13.847;13.044;20.287;14.164;24.736;24.234;24,201;23,614;4.625;4.801;6.616;6.003;6.639;10.309;11.398;7.92;33.837;6.945;-0.584;-0.654;3.876;9.121;21.823;24.608;4.169;10.393;19.78;1.586;4.333;0.307;1.51;0.265;0.473;0.201;10.545;4.625;2.347
379;16.335;26.578;25.057;27.385;13.654;12.981;20.068;13.977;24.408;24.052;23,879;23,259;4.576;4.716;6.55;5.998;6.604;10.375;11.445;7.984;33.865;7.063;-0.608;-0.637;3.8;8.973;21.579;24.204;4.081;10.205;19.507;1.536;4.309;0.321;1.518;0.326;0.502;0.198;10.411;4.573;2.331
379.5;16.037;26.153;24.933;27.313;13.608;13.011;19.885;13.857;24.073;23.83;23,535;23,057;4.485;4.725;6.516;5.984;6.603;10.496;11.439;8.087;33.945;7.21;-0.643;-0.643;3.768;8.771;21.254;23.812;3.98;10.05;19.176;1.516;4.255;0.362;1.572;0.416;0.507;0.192;10.317;4.504;2.328
380;15.884;25.851;24.935;27.269;13.687;13.068;19.822;13.776;23.818;23.695;23,207;22,795;4.418;4.679;6.434;5.899;6.531;10.47;11.341;8.094;33.964;7.257;-0.722;-0.7;3.63;8.579;20.823;23.42;3.82;9.884;18.882;1.455;4.213;0.352;1.576;0.43;0.503;0.188;10.214;4.408;2.223
380.5;15.672;25.512;24.863;27.158;13.761;13.015;19.628;13.657;23.529;23.412;22,865;22,615;4.321;4.57;6.345;5.83;6.505;10.434;11.216;8.071;33.951;7.301;-0.801;-0.797;3.487;8.341;20.284;22.907;3.656;9.658;18.45;1.348;4.047;0.377;1.55;0.428;0.52;0.183;9.899;4.249;2.138
381;15.407;25.116;24.646;26.953;13.656;12.882;19.298;13.406;23.163;23.054;22,543;22,382;4.24;4.473;6.29;5.828;6.472;10.368;11.154;8.034;33.896;7.326;-0.834;-0.822;3.416;8.107;19.838;22.426;3.495;9.388;17.998;1.24;3.84;0.365;1.529;0.357;0.497;0.181;9.556;4.089;2.082
381.5;15.078;24.643;24.425;26.724;13.508;12.583;18.927;13.208;22.665;22.564;22,312;21,964;4.224;4.364;6.212;5.752;6.399;10.272;11.045;7.911;33.885;7.289;-0.921;-0.94;3.276;7.897;19.321;21.881;3.394;9.141;17.501;1.215;3.639;0.355;1.515;0.364;0.509;0.179;9.179;3.952;2.036
382;14.619;24.183;24.094;26.351;13.256;12.234;18.511;12.87;22.156;21.997;22,290;21,777;4.1;4.21;6.156;5.691;6.314;9.997;10.854;7.577;33.8;7.138;-0.99;-1.004;3.166;7.73;18.917;21.453;3.271;9.01;17.051;1.116;3.559;0.272;1.472;0.268;0.468;0.182;8.958;3.864;1.943
382.5;14.251;23.79;23.721;25.956;12.981;11.834;18.085;12.391;21.613;21.38;22,112;21,435;4.06;4.174;6.07;5.624;6.231;9.802;10.671;7.446;33.716;7.015;-1.063;-1.1;3.105;7.557;18.565;21.09;3.242;8.789;16.632;1.073;3.438;0.282;1.465;0.226;0.414;0.185;8.733;3.74;1.912
383;13.947;23.38;23.481;25.654;12.688;11.551;17.696;11.984;21.103;20.83;21,670;21,149;3.968;4.058;5.978;5.578;6.221;9.668;10.542;7.285;33.672;6.946;-1.111;-1.08;3.064;7.401;18.071;20.711;3.197;8.531;16.126;1.129;3.22;0.239;1.384;0.215;0.431;0.186;8.377;3.542;1.905
383.5;13.632;23.054;23.24;25.373;12.406;11.309;17.307;11.577;20.588;20.339;21,421;20,696;3.949;4.005;5.895;5.525;6.194;9.599;10.432;7.15;33.553;6.874;-1.037;-0.995;3.036;7.232;17.689;20.342;3.175;8.378;15.739;1.154;3.055;0.137;1.321;0.233;0.435;0.189;8.178;3.427;1.91
384;13.368;22.748;23.084;25.181;12.237;11.208;17.018;11.237;20.198;19.932;21,056;20,342;3.975;3.979;5.816;5.477;6.184;9.596;10.395;7.143;33.497;6.865;-0.931;-0.889;3.022;7.057;17.334;19.921;3.175;8.157;15.434;1.19;2.972;0.14;1.298;0.269;0.402;0.185;8.096;3.321;1.919
384.5;13.155;22.46;23.013;25.093;12.24;11.213;16.957;11.054;19.866;19.682;20,871;20,046;4.012;4.003;5.738;5.463;6.168;9.662;10.44;7.175;33.527;6.926;-0.839;-0.814;2.92;6.924;17.004;19.607;3.066;8.049;15.289;1.217;2.984;0.084;1.28;0.257;0.378;0.181;8.174;3.295;1.912
385;12.872;22.157;22.909;25.049;12.255;11.225;16.942;10.938;19.653;19.502;20,539;19,711;4.05;4.026;5.66;5.414;6.153;9.761;10.457;7.255;33.503;7;-0.802;-0.772;2.742;6.78;16.654;19.208;2.914;7.957;15.128;1.2;3.038;0.059;1.267;0.219;0.371;0.179;8.091;3.233;1.852
385.5;12.626;21.868;22.792;24.974;12.312;11.253;16.881;10.846;19.487;19.299;20,217;19,481;4.019;3.937;5.659;5.426;6.161;9.84;10.452;7.309;33.462;7.156;-0.823;-0.774;2.622;6.683;16.379;18.848;2.758;7.846;14.887;1.151;3.055;0.089;1.248;0.193;0.378;0.171;8.048;3.237;1.764
386;12.409;21.58;22.58;24.872;12.3;11.292;16.798;10.635;19.198;19.029;20,028;19,242;4.037;3.891;5.675;5.458;6.148;9.883;10.453;7.39;33.479;7.268;-0.84;-0.765;2.474;6.561;16.115;18.45;2.634;7.708;14.636;1.125;3.043;0.076;1.27;0.19;0.373;0.165;7.964;3.257;1.712
386.5;12.126;21.117;22.318;24.64;12.172;11.095;16.502;10.368;18.749;18.671;19,819;19,048;4.018;3.84;5.606;5.374;6.061;9.85;10.347;7.287;33.475;7.338;-0.899;-0.798;2.297;6.473;15.941;18.142;2.556;7.609;14.359;1.116;3.016;0.072;1.268;0.184;0.404;0.158;7.882;3.239;1.598
387;11.703;20.647;21.966;24.292;11.974;10.873;16.158;10.009;18.25;18.215;19,555;18,809;3.948;3.84;5.486;5.288;5.892;9.65;10.125;7.023;33.41;7.287;-0.978;-0.835;2.169;6.38;15.795;17.944;2.412;7.576;14.151;1.066;3.161;-0.014;1.258;0.121;0.381;0.153;7.894;3.261;1.504
387.5;11.315;20.227;21.624;23.949;11.8;10.662;15.804;9.6;17.696;17.724;19,396;18,588;3.914;3.852;5.351;5.197;5.76;9.373;9.898;6.802;33.291;7.207;-1.075;-0.949;2.039;6.254;15.643;17.721;2.304;7.531;13.953;1.015;3.242;-0.01;1.199;0.05;0.346;0.152;7.928;3.294;1.401
388;11.026;19.91;21.357;23.724;11.569;10.46;15.493;9.292;17.184;17.276;19,099;18,397;3.86;3.771;5.256;5.154;5.706;9.216;9.797;6.663;33.266;7.141;-1.108;-0.937;2.006;6.096;15.278;17.363;2.237;7.387;13.622;1.016;3.198;-0.006;1.186;0.113;0.335;0.148;7.849;3.229;1.414
388.5;10.863;19.672;21.19;23.536;11.392;10.386;15.244;9.06;16.808;16.828;18,776;18,233;3.848;3.734;5.14;5.068;5.627;9.052;9.651;6.562;33.205;7.053;-1.024;-0.883;2.004;5.928;14.959;16.977;2.247;7.253;13.418;1.005;3.171;-0.058;1.191;0.147;0.328;0.147;7.776;3.181;1.498
389;10.724;19.404;21.105;23.417;11.222;10.292;15.071;8.842;16.483;16.419;18,525;18,027;3.819;3.702;5.024;5.026;5.606;8.94;9.634;6.521;33.201;6.984;-0.951;-0.86;2.076;5.736;14.601;16.533;2.315;7.017;13.148;1.07;3.085;-0.006;1.218;0.189;0.316;0.141;7.662;3.098;1.588
389.5;10.543;19.17;21.051;23.313;11.139;10.189;14.924;8.686;16.184;16.111;18,394;17,775;3.814;3.649;4.935;4.99;5.584;8.887;9.556;6.391;33.139;6.904;-0.898;-0.87;2.024;5.561;14.284;16.238;2.243;6.87;12.991;1.073;3.016;-0.021;1.257;0.181;0.318;0.136;7.587;3.02;1.623
390;10.14;18.72;20.848;23.171;11.041;10.045;14.654;8.559;15.805;15.755;18,207;17,529;3.781;3.56;4.898;4.965;5.642;8.925;9.547;6.426;33.099;6.877;-0.919;-0.903;1.987;5.381;13.935;15.847;2.209;6.712;12.701;1.074;2.886;-0.002;1.293;0.195;0.323;0.136;7.425;2.898;1.607
390.5;9.844;18.342;20.602;22.93;10.873;9.864;14.421;8.369;15.453;15.357;18,010;17,280;3.7;3.447;4.923;4.97;5.681;8.966;9.545;6.465;33.12;6.887;-0.894;-0.907;1.924;5.291;13.684;15.599;2.181;6.589;12.519;1.046;2.85;0.04;1.271;0.207;0.322;0.133;7.32;2.882;1.545
391;9.542;17.919;20.359;22.741;10.745;9.672;14.144;8.116;15.069;14.944;17,882;17,036;3.59;3.399;4.938;5.002;5.694;8.993;9.54;6.516;33.116;6.866;-0.88;-0.91;1.85;5.176;13.436;15.295;2.13;6.485;12.305;0.988;2.773;0.072;1.24;0.225;0.333;0.129;7.233;2.846;1.517
391.5;9.275;17.467;20.085;22.485;10.557;9.443;13.786;7.874;14.67;14.598;17,698;16,780;3.456;3.293;4.921;4.984;5.658;9.02;9.505;6.522;33.074;6.881;-0.906;-0.897;1.738;5.109;13.241;15.039;2.021;6.351;12.01;0.94;2.685;0.076;1.201;0.19;0.347;0.13;7.113;2.79;1.436
392;8.995;17.125;19.797;22.185;10.352;9.207;13.435;7.533;14.226;14.139;17,528;16,543;3.41;3.287;4.872;4.966;5.572;8.961;9.456;6.512;33.023;6.896;-0.871;-0.894;1.63;5.018;13.003;14.8;1.906;6.258;11.767;0.901;2.676;0.078;1.206;0.159;0.329;0.127;7.009;2.765;1.377
392.5;8.623;16.739;19.36;21.761;10.012;8.907;13.007;7.111;13.655;13.52;17,365;16,331;3.391;3.299;4.786;4.917;5.529;8.849;9.455;6.483;32.987;6.911;-0.856;-0.926;1.538;4.943;12.824;14.594;1.819;6.197;11.556;0.844;2.691;0.122;1.196;0.114;0.311;0.131;6.998;2.784;1.286
393;8.29;16.308;18.912;21.368;9.588;8.554;12.572;6.681;13.025;12.857;17,148;16,112;3.396;3.275;4.718;4.83;5.471;8.732;9.39;6.43;32.928;6.898;-0.776;-0.891;1.511;4.862;12.484;14.28;1.762;6.078;11.212;0.834;2.625;0.167;1.253;0.166;0.269;0.131;6.954;2.76;1.297
393.5;8.167;16.04;18.665;21.178;9.369;8.444;12.327;6.376;12.653;12.408;16,930;15,933;3.402;3.289;4.612;4.674;5.348;8.609;9.198;6.321;32.889;6.894;-0.633;-0.773;1.512;4.685;12.119;13.828;1.787;5.892;10.82;0.889;2.429;0.131;1.28;0.177;0.277;0.128;6.72;2.655;1.304
394;8.128;15.933;18.592;21.149;9.32;8.465;12.225;6.176;12.458;12.178;16,702;15,738;3.409;3.3;4.519;4.588;5.286;8.429;9.038;6.167;32.861;6.928;-0.576;-0.712;1.533;4.521;11.741;13.426;1.758;5.727;10.499;0.904;2.258;0.086;1.22;0.167;0.309;0.124;6.587;2.595;1.283
394.5;8.054;15.84;18.567;21.069;9.403;8.568;12.177;6.12;12.273;12.001;16,520;15,538;3.439;3.254;4.426;4.498;5.221;8.314;8.845;5.995;32.746;6.936;-0.56;-0.666;1.507;4.342;11.381;13.145;1.663;5.602;10.279;0.876;2.159;0.013;1.18;0.15;0.32;0.123;6.524;2.535;1.246
395;7.891;15.738;18.575;21.077;9.537;8.673;12.218;6.136;12.081;11.827;16,311;15,361;3.384;3.158;4.358;4.464;5.182;8.264;8.786;5.947;32.746;6.969;-0.579;-0.653;1.465;4.187;11.022;12.824;1.603;5.487;10.063;0.875;2.05;-0.058;1.139;0.131;0.336;0.122;6.53;2.483;1.179
395.5;7.806;15.67;18.569;21.06;9.595;8.778;12.272;6.135;11.959;11.692;16,123;15,184;3.388;3.164;4.288;4.4;5.136;8.203;8.743;5.86;32.732;6.947;-0.642;-0.668;1.405;4.072;10.744;12.628;1.504;5.417;9.937;0.84;2.034;-0.044;1.124;0.128;0.334;0.117;6.489;2.467;1.148
396;7.752;15.557;18.67;21.131;9.763;8.874;12.344;6.167;11.922;11.637;15,957;14,979;3.397;3.163;4.23;4.375;5.059;8.086;8.638;5.717;32.659;6.894;-0.759;-0.719;1.343;4.028;10.599;12.433;1.397;5.388;9.86;0.781;2.127;-0.023;1.093;0.113;0.342;0.113;6.514;2.46;1.128
396.5;7.781;15.416;18.722;21.162;9.882;8.946;12.412;6.246;11.82;11.648;15,779;14,817;3.377;3.103;4.206;4.361;5.004;8.08;8.602;5.649;32.589;6.876;-0.908;-0.796;1.23;4.018;10.517;12.207;1.267;5.288;9.821;0.719;2.181;-0.038;1.061;0.054;0.352;0.11;6.53;2.468;1.079
397;7.589;15.26;18.667;20.999;9.835;8.856;12.238;6.1;11.524;11.434;15,622;14,663;3.362;3.126;4.173;4.364;4.958;8.078;8.592;5.672;32.559;6.87;-0.963;-0.861;1.167;3.963;10.406;11.977;1.222;5.209;9.7;0.686;2.239;-0.017;1.13;0.077;0.335;0.105;6.49;2.47;1.118
397.5;7.3;14.896;18.44;20.755;9.602;8.638;11.956;5.911;11.114;11.073;15,459;14,520;3.332;3.149;4.11;4.326;4.931;8.032;8.564;5.663;32.575;6.842;-0.99;-0.919;1.095;3.933;10.307;11.817;1.165;5.133;9.537;0.636;2.287;-0.016;1.154;0.088;0.352;0.102;6.415;2.445;1.095
398;7.024;14.571;18.243;20.559;9.395;8.427;11.763;5.745;10.775;10.763;15,291;14,345;3.269;3.121;4.078;4.28;4.915;7.908;8.481;5.665;32.533;6.815;-0.987;-0.944;0.975;3.914;10.151;11.604;1.074;5.068;9.399;0.62;2.321;-0.062;1.14;0.076;0.328;0.099;6.389;2.425;1.063
398.5;6.733;14.276;18.17;20.41;9.221;8.319;11.654;5.625;10.526;10.566;15,097;14,171;3.256;3.138;4.025;4.234;4.876;7.864;8.349;5.66;32.553;6.794;-1.011;-0.922;0.901;3.811;9.985;11.306;1.063;4.977;9.14;0.622;2.232;-0.115;1.106;0.042;0.34;0.093;6.292;2.383;1.02
399;6.549;14.036;18.051;20.289;9.128;8.269;11.595;5.539;10.326;10.407;14,924;14,010;3.234;3.045;4.022;4.263;4.908;7.863;8.27;5.631;32.618;6.816;-1.02;-0.908;0.876;3.678;9.713;11.052;1.017;4.849;8.857;0.572;2.185;-0.194;1.014;0.062;0.364;0.091;6.189;2.344;0.979
399.5;6.403;13.844;17.873;20.082;9.023;8.214;11.556;5.433;10.086;10.159;14,770;13,847;3.147;2.926;3.996;4.252;4.897;7.822;8.233;5.597;32.623;6.835;-1.032;-0.866;0.887;3.526;9.455;10.792;0.994;4.703;8.592;0.549;2.083;-0.241;0.969;0.025;0.387;0.09;6.059;2.267;0.937
400;6.241;13.746;17.683;19.912;8.892;8.142;11.504;5.291;9.806;9.914;14,617;13,688;3.012;2.799;3.986;4.258;4.86;7.806;8.189;5.559;32.599;6.82;-1.02;-0.861;0.871;3.378;9.187;10.505;0.948;4.564;8.336;0.563;1.928;-0.222;0.938;0.026;0.382;0.089;5.897;2.149;0.935
400.5;6.031;13.503;17.469;19.659;8.666;7.949;11.291;4.989;9.433;9.539;14,449;13,515;2.95;2.734;3.983;4.238;4.839;7.784;8.223;5.56;32.563;6.792;-1.025;-0.889;0.809;3.293;8.969;10.254;0.902;4.477;8.08;0.529;1.811;-0.175;0.978;0.011;0.382;0.086;5.698;2.084;0.93
401;5.928;13.246;17.357;19.45;8.601;7.788;11.13;4.716;9.104;9.221;14,316;13,337;2.909;2.662;3.989;4.224;4.792;7.773;8.215;5.511;32.506;6.802;-1.022;-0.891;0.741;3.244;8.76;10.068;0.814;4.436;7.87;0.476;1.812;-0.155;0.937;-0.051;0.411;0.085;5.581;2.085;0.896
401.5;5.837;13.01;17.291;19.325;8.565;7.674;10.931;4.469;8.723;8.911;14,181;13,197;2.86;2.577;3.964;4.152;4.738;7.796;8.195;5.437;32.438;6.827;-0.999;-0.869;0.706;3.158;8.513;9.832;0.793;4.365;7.738;0.44;1.753;-0.127;0.958;-0.072;0.406;0.086;5.516;2.07;0.894
402;5.669;12.836;17.222;19.18;8.508;7.56;10.643;4.261;8.386;8.59;14,037;13,059;2.769;2.518;3.932;4.103;4.679;7.741;8.151;5.404;32.393;6.806;-0.919;-0.817;0.728;3.033;8.24;9.623;0.833;4.255;7.491;0.445;1.632;-0.094;1.043;-0.018;0.386;0.086;5.364;1.98;0.957
402.5;5.576;12.632;17.145;19.12;8.455;7.438;10.45;4.088;8.111;8.338;13,909;12,929;2.716;2.495;3.848;4.009;4.602;7.631;8.065;5.317;32.347;6.755;-0.847;-0.751;0.683;2.913;7.946;9.409;0.788;4.155;7.268;0.38;1.543;-0.097;1;-0.038;0.404;0.085;5.225;1.876;0.915
403;5.496;12.538;17.203;19.132;8.514;7.432;10.356;4.014;7.992;8.167;13,774;12,799;2.663;2.474;3.808;3.975;4.582;7.581;8.049;5.32;32.304;6.778;-0.809;-0.739;0.632;2.812;7.767;9.205;0.707;4.108;7.227;0.346;1.554;-0.135;0.951;-0.068;0.383;0.087;5.236;1.802;0.857
403.5;5.32;12.342;17.296;19.143;8.566;7.45;10.261;3.956;7.861;8.006;13,633;12,664;2.716;2.506;3.716;3.943;4.531;7.54;7.94;5.201;32.21;6.748;-0.79;-0.725;0.653;2.667;7.532;8.922;0.763;4.011;7.027;0.43;1.453;-0.139;0.98;-0.066;0.358;0.088;5.199;1.738;0.854
404;5.221;12.195;17.324;19.214;8.654;7.514;10.252;3.984;7.825;7.915;13,513;12,544;2.724;2.479;3.687;3.949;4.538;7.59;7.945;5.176;32.223;6.792;-0.754;-0.705;0.674;2.553;7.358;8.687;0.812;3.924;6.893;0.464;1.482;-0.117;0.991;-0.011;0.325;0.086;5.22;1.721;0.836
404.5;5.199;12.136;17.318;19.264;8.743;7.556;10.24;4.027;7.783;7.846;13,394;12,405;2.668;2.461;3.636;3.926;4.527;7.564;7.942;5.168;32.204;6.804;-0.797;-0.702;0.711;2.478;7.253;8.552;0.816;3.84;6.764;0.49;1.505;-0.099;1.02;-0.015;0.296;0.084;5.22;1.718;0.823
405;5.017;11.952;17.143;19.129;8.618;7.467;10.111;3.974;7.601;7.691;13,280;12,271;2.607;2.47;3.606;3.938;4.5;7.513;7.881;5.179;32.165;6.778;-0.832;-0.773;0.708;2.443;7.204;8.409;0.786;3.774;6.685;0.486;1.536;-0.053;1.052;0.034;0.276;0.082;5.207;1.69;0.827
405.5;4.857;11.748;16.992;18.986;8.522;7.379;10.037;3.861;7.422;7.52;13,156;12,141;2.584;2.479;3.584;3.905;4.454;7.446;7.866;5.243;32.161;6.784;-0.892;-0.844;0.65;2.445;7.177;8.282;0.736;3.788;6.642;0.497;1.538;-0.04;1.081;0.06;0.296;0.075;5.158;1.729;0.797
406;4.781;11.637;16.949;18.933;8.575;7.414;10.088;3.855;7.322;7.438;13,059;12,025;2.576;2.469;3.542;3.852;4.405;7.355;7.764;5.284;32.214;6.867;-0.886;-0.829;0.598;2.439;7.097;8.258;0.68;3.803;6.592;0.54;1.583;-0.026;1.072;0.08;0.324;0.07;5.092;1.777;0.793
406.5;4.646;11.475;16.833;18.937;8.549;7.475;10.072;3.788;7.127;7.335;12,941;11,911;2.566;2.433;3.482;3.771;4.353;7.261;7.654;5.248;32.316;6.918;-0.923;-0.787;0.6;2.412;6.968;8.167;0.693;3.801;6.542;0.583;1.586;0.059;1.158;0.135;0.351;0.068;4.979;1.75;0.85
407;4.551;11.377;16.603;18.847;8.437;7.43;9.995;3.702;6.915;7.191;12,822;11,807;2.493;2.387;3.453;3.773;4.347;7.236;7.573;5.255;32.461;6.966;-0.899;-0.693;0.539;2.412;6.874;8.162;0.632;3.772;6.526;0.56;1.636;0.03;1.14;0.122;0.367;0.063;4.941;1.718;0.856
407.5;4.501;11.268;16.392;18.717;8.336;7.367;9.901;3.5;6.678;6.943;12,716;11,696;2.472;2.355;3.41;3.734;4.35;7.225;7.549;5.279;32.575;7;-0.923;-0.645;0.469;2.403;6.828;8.065;0.548;3.767;6.513;0.511;1.701;0.004;1.068;0.079;0.395;0.058;4.929;1.746;0.833
408;4.472;11.208;16.272;18.643;8.282;7.339;9.801;3.36;6.504;6.79;12,606;11,599;2.468;2.306;3.438;3.746;4.378;7.222;7.563;5.302;32.642;7.03;-0.902;-0.623;0.407;2.367;6.768;7.963;0.433;3.751;6.49;0.465;1.746;-0.077;1.003;0.044;0.399;0.059;4.952;1.73;0.783
408.5;4.399;11.107;16.112;18.442;8.18;7.212;9.611;3.157;6.308;6.622;12,497;11,499;2.451;2.24;3.471;3.792;4.407;7.215;7.535;5.26;32.635;6.988;-0.879;-0.608;0.385;2.287;6.632;7.761;0.384;3.659;6.379;0.497;1.724;-0.121;1.015;0.045;0.392;0.061;4.86;1.675;0.777
409;4.39;11.073;16.078;18.393;8.183;7.191;9.54;3.066;6.241;6.508;12,389;11,401;2.397;2.145;3.49;3.785;4.41;7.218;7.58;5.268;32.626;6.955;-0.833;-0.577;0.369;2.194;6.47;7.55;0.379;3.562;6.203;0.451;1.669;-0.148;0.984;0.021;0.372;0.064;4.76;1.612;0.791
409.5;4.293;10.931;15.942;18.195;8.07;7.054;9.311;2.9;6.021;6.327;12,284;11,294;2.291;2.035;3.509;3.761;4.407;7.236;7.58;5.239;32.569;6.903;-0.801;-0.561;0.377;2.101;6.346;7.355;0.323;3.415;5.994;0.386;1.654;-0.167;0.983;0.018;0.349;0.066;4.699;1.538;0.749
