t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
40;CSC;N1;40;0.341;0.405;0.383;0.382;0.226;0.311;0.297;0.288;;;;;;;;;;;;;;
40;CSC;N1;50;0.327;0.362;0.378;0.373;0.212;0.268;0.292;0.279;;;;;;;;;;;;;;
40;CSC;N1;60;0.326;0.404;0.372;0.37;0.211;0.31;0.286;0.276;;;;;;;;;;;;;;
40;CSC;N1;70;0.352;0.445;0.402;0.4;0.237;0.351;0.316;0.306;;;;;;;;;;;;;;
40;CSC;N1;80;0.293;0.364;0.34;0.337;0.178;0.27;0.254;0.243;;;;;;;;;;;;;;
40;CHT;N1;10;0.168;0.154;0.175;0.178;0.09;0.076;0.091;0.112;;;;;;;;;;;;;;
40;CHT;N1;20;0.131;0.155;0.138;0.139;0.053;0.077;0.054;0.073;;;;;;;;;;;;;;
40;CHT;N1;30;0.128;0.125;0.137;0.14;0.05;0.047;0.053;0.074;;;;;;;;;;;;;;
40;CHT;N1;40;0.174;0.198;0.176;0.179;0.096;0.12;0.092;0.113;;;;;;;;;;;;;;
40;CHT;N1;50;0.155;0.133;0.162;0.167;0.077;0.055;0.078;0.101;;;;;;;;;;;;;;
40;CHT;N1;60;0.168;0.208;0.169;0.171;0.09;0.13;0.085;0.105;;;;;;;;;;;;;;
40;CHT;N1;70;0.179;0.244;0.193;0.189;0.101;0.166;0.109;0.123;;;;;;;;;;;;;;
40;CHT;N1;80;0.139;0.166;0.146;0.145;0.061;0.088;0.062;0.079;;;;;;;;;;;;;;
40;CT;N1;10;0.305;0.289;0.313;0.311;0.232;0.226;0.251;0.247;;;;;;;;;;;;;;
40;CT;N1;20;0.294;0.309;0.304;0.302;0.221;0.246;0.242;0.238;;;;;;;;;;;;;;
40;CT;N1;30;0.343;0.372;0.377;0.377;0.27;0.309;0.315;0.313;;;;;;;;;;;;;;
40;CT;N1;40;0.372;0.426;0.4;0.406;0.299;0.363;0.338;0.342;;;;;;;;;;;;;;
40;CT;N1;50;0.356;0.372;0.39;0.394;0.283;0.309;0.328;0.33;;;;;;;;;;;;;;
40;CT;N1;60;0.349;0.421;0.382;0.384;0.276;0.358;0.32;0.32;;;;;;;;;;;;;;
40;CT;N1;70;0.368;0.474;0.414;0.408;0.295;0.411;0.352;0.344;;;;;;;;;;;;;;
40;CT;N1;80;0.31;0.384;0.349;0.395;0.237;0.321;0.287;0.331;;;;;;;;;;;;;;
40;CT;N2;10;0.303;0.297;0.317;0.313;0.251;0.256;0.274;0.271;;;;;;;;;;;;;;
40;CT;N2;20;0.323;0.375;0.366;0.362;0.271;0.334;0.323;0.32;;;;;;;;;;;;;;
40;CT;N2;30;0.312;0.358;0.36;0.356;0.26;0.317;0.317;0.314;;;;;;;;;;;;;;
40;CT;N2;40;0.341;0.405;0.383;0.382;0.289;0.364;0.34;0.34;;;;;;;;;;;;;;
40;CT;N2;50;0.327;0.362;0.378;0.373;0.275;0.321;0.335;0.331;;;;;;;;;;;;;;
40;CT;N2;60;0.326;0.404;0.371;0.37;0.274;0.363;0.328;0.328;;;;;;;;;;;;;;
40;CT;N2;70;0.352;0.445;0.402;0.4;0.3;0.404;0.359;0.358;;;;;;;;;;;;;;
40;CT;N2;80;0.293;0.364;0.34;0.337;0.241;0.323;0.297;0.295;;;;;;;;;;;;;;
40;FS;N3;10;0.202;0.191;0.207;0.208;0.145;0.145;0.164;0.158;;;;;;;;;;;;;;
40;FS;N3;20;0.164;0.176;0.166;0.168;0.107;0.13;0.123;0.118;;;;;;;;;;;;;;
40;FS;N3;30;0.116;0.11;0.121;0.121;0.059;0.064;0.078;0.071;;;;;;;;;;;;;;
40;FS;N3;40;0.156;0.178;0.156;0.161;0.099;0.132;0.113;0.111;;;;;;;;;;;;;;
40;FS;N3;50;0.154;0.145;0.163;0.162;0.097;0.099;0.12;0.112;;;;;;;;;;;;;;
40;FS;N3;60;0.158;0.19;0.157;0.161;0.101;0.144;0.114;0.111;;;;;;;;;;;;;;
40;FS;N3;70;0.177;0.239;0.189;0.191;0.12;0.193;0.146;0.141;;;;;;;;;;;;;;
40;FS;N3;80;0.125;0.155;0.132;0.134;0.068;0.109;0.089;0.084;;;;;;;;;;;;;;
40;CT;N3;10;0.22;0.218;0.232;0.231;0.139;0.141;0.168;0.155;;;;;;;;;;;;;;
40;CT;N3;20;0.153;0.171;0.162;0.16;0.072;0.094;0.098;0.084;;;;;;;;;;;;;;
40;CT;N3;30;0.169;0.166;0.176;0.175;0.088;0.089;0.112;0.099;;;;;;;;;;;;;;
40;CT;N3;40;0.217;0.247;0.22;0.222;0.136;0.17;0.156;0.146;;;;;;;;;;;;;;
40;CT;N3;50;0.269;0.27;0.28;0.278;0.188;0.193;0.216;0.202;;;;;;;;;;;;;;
40;CT;N3;60;0.232;0.281;0.238;0.24;0.151;0.204;0.174;0.164;;;;;;;;;;;;;;
40;CT;N3;70;0.31;0.393;0.332;0.327;0.229;0.316;0.268;0.251;;;;;;;;;;;;;;
40;CT;N3;80;0.265;0.316;0.292;0.289;0.184;0.239;0.228;0.213;;;;;;;;;;;;;;
40;CC;N1;10;0.202;0.191;0.207;0.208;0.131;0.133;0.148;0.147;;;;;;;;;;;;;;
40;CC;N1;20;0.164;0.176;0.166;0.168;0.093;0.118;0.107;0.107;;;;;;;;;;;;;;
40;CC;N1;30;0.116;0.11;0.121;0.121;0.045;0.052;0.062;0.06;;;;;;;;;;;;;;
40;CC;N1;40;0.156;0.178;0.156;0.161;0.085;0.12;0.097;0.1;;;;;;;;;;;;;;
40;CC;N1;50;0.154;0.145;0.163;0.162;0.083;0.087;0.104;0.101;;;;;;;;;;;;;;
40;CC;N1;60;0.158;0.19;0.157;0.161;0.087;0.132;0.098;0.1;;;;;;;;;;;;;;
40;CC;N1;70;0.177;0.239;0.189;0.191;0.106;0.181;0.13;0.13;;;;;;;;;;;;;;
40;CC;N1;80;0.125;0.155;0.132;0.134;0.054;0.097;0.073;0.073;;;;;;;;;;;;;;
40;CC;N2;10;0.316;0.306;0.328;0.326;0.257;0.246;0.254;0.273;;;;;;;;;;;;;;
40;CC;N2;20;0.316;0.353;0.349;0.348;0.257;0.293;0.275;0.295;;;;;;;;;;;;;;
40;CC;N2;30;0.352;0.389;0.402;0.398;0.293;0.329;0.328;0.345;;;;;;;;;;;;;;
40;CC;N2;40;0.36;0.422;0.403;0.403;0.301;0.362;0.329;0.35;;;;;;;;;;;;;;
40;CC;N2;50;0.38;0.413;0.431;0.425;0.321;0.353;0.357;0.372;;;;;;;;;;;;;;
40;CC;N2;60;0.392;0.464;0.445;0.443;0.333;0.404;0.371;0.39;;;;;;;;;;;;;;
40;CC;N2;70;0.317;0.409;0.368;0.366;0.258;0.349;0.294;0.313;;;;;;;;;;;;;;
40;CC;N2;80;0.268;0.335;0.319;0.314;0.209;0.275;0.245;0.261;;;;;;;;;;;;;;
40;CS;N1;10;0.195;0.178;0.2;0.199;0.108;0.085;0.092;0.118;;;;;;;;;;;;;;
40;CS;N1;20;0.119;0.127;0.123;0.125;0.032;0.034;0.015;0.044;;;;;;;;;;;;;;
40;CS;N1;30;0.132;0.124;0.137;0.137;0.045;0.031;0.029;0.056;;;;;;;;;;;;;;
40;CS;N1;40;0.166;0.183;0.166;0.171;0.079;0.09;0.058;0.09;;;;;;;;;;;;;;
40;CS;N1;50;0.256;0.255;0.269;0.27;0.169;0.162;0.161;0.189;;;;;;;;;;;;;;
40;CS;N1;60;0.251;0.289;0.261;0.265;0.164;0.196;0.153;0.184;;;;;;;;;;;;;;
40;CS;N1;70;0.167;0.226;0.173;0.176;0.08;0.133;0.065;0.095;;;;;;;;;;;;;;
40;CS;N1;80;0.128;0.155;0.132;0.134;0.041;0.062;0.024;0.053;;;;;;;;;;;;;;
40;CT;N4;10;0.266;0.255;0.281;0.28;0.221;0.214;0.235;0.231;;;;;;;;;;;;;;
40;CT;N4;20;0.234;0.245;0.247;0.248;0.189;0.204;0.201;0.199;;;;;;;;;;;;;;
40;CT;N4;30;0.331;0.344;0.361;0.362;0.286;0.303;0.315;0.313;;;;;;;;;;;;;;
40;CT;N4;40;0.379;0.425;0.412;0.414;0.334;0.384;0.366;0.365;;;;;;;;;;;;;;
40;CT;N4;50;0.379;0.412;0.432;0.434;0.334;0.371;0.386;0.385;;;;;;;;;;;;;;
40;CT;N4;60;0.357;0.426;0.404;0.404;0.312;0.385;0.358;0.355;;;;;;;;;;;;;;
40;CT;N4;70;0.37;0.465;0.425;0.422;0.325;0.424;0.379;0.373;;;;;;;;;;;;;;
40;CT;N4;80;0.354;0.429;0.406;0.401;0.309;0.388;0.36;0.352;;;;;;;;;;;;;;
10;FS;N5;10;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;20;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;30;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;40;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;50;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;60;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;70;;;;;;;;;;;;;;;;;;;;;;
10;FS;N5;80;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;10;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;20;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;30;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;40;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;50;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;60;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;70;;;;;;;;;;;;;;;;;;;;;;
10;CC;N3;80;;;;;;;;;;;;;;;;;;;;;;
20;FS;N5;10;0.385;0.364;0.316;0.286;0.288;0.275;0.225;0.205;;;;;;;;;;;;;;
20;FS;N5;20;0.319;0.303;0.253;0.211;0.222;0.214;0.162;0.13;;;;;;;;;;;;;;
20;FS;N5;30;0.302;0.294;0.247;0.214;0.205;0.205;0.156;0.133;;;;;;;;;;;;;;
20;FS;N5;40;0.34;0.319;0.272;0.232;0.243;0.23;0.181;0.151;;;;;;;;;;;;;;
20;FS;N5;50;0.308;0.306;0.255;0.255;0.211;0.217;0.164;0.174;;;;;;;;;;;;;;
20;FS;N5;60;0.294;0.266;0.223;0.186;0.197;0.177;0.132;0.105;;;;;;;;;;;;;;
20;FS;N5;70;0.303;0.277;0.237;0.208;0.206;0.188;0.146;0.127;;;;;;;;;;;;;;
20;FS;N5;80;0.273;0.26;0.217;0.188;0.176;0.171;0.126;0.107;;;;;;;;;;;;;;
20;CC;N3;10;0.269;0.282;0.264;0.264;0.149;0.174;0.159;0.152;;;;;;;;;;;;;;
20;CC;N3;20;0.181;0.193;0.176;0.175;0.061;0.085;0.071;0.063;;;;;;;;;;;;;;
20;CC;N3;30;0.204;0.217;0.198;0.196;0.084;0.109;0.093;0.084;;;;;;;;;;;;;;
20;CC;N3;40;0.209;0.205;0.195;0.192;0.089;0.097;0.09;0.08;;;;;;;;;;;;;;
20;CC;N3;50;0.232;0.247;0.227;0.226;0.112;0.139;0.122;0.114;;;;;;;;;;;;;;
20;CC;N3;60;0.195;0.183;0.174;0.171;0.075;0.075;0.069;0.059;;;;;;;;;;;;;;
20;CC;N3;70;0.233;0.217;0.209;0.207;0.113;0.109;0.104;0.095;;;;;;;;;;;;;;
20;CC;N3;80;0.183;0.178;0.168;0.167;0.063;0.07;0.063;0.055;;;;;;;;;;;;;;
30;FS;N5;10;0.367;0.308;0.284;0.243;0.27;0.219;0.193;0.162;;;;;;;;;;;;;;
30;FS;N5;20;0.332;0.265;0.233;0.182;0.235;0.176;0.142;0.101;;;;;;;;;;;;;;
30;FS;N5;30;0.309;0.241;0.218;0.171;0.212;0.152;0.127;0.09;;;;;;;;;;;;;;
30;FS;N5;40;0.364;0.3;0.271;0.217;0.267;0.211;0.18;0.136;;;;;;;;;;;;;;
30;FS;N5;50;0.319;0.242;0.217;0.168;0.222;0.153;0.126;0.087;;;;;;;;;;;;;;
30;FS;N5;60;0.33;0.278;0.245;0.198;0.233;0.189;0.154;0.117;;;;;;;;;;;;;;
30;FS;N5;70;0.349;0.325;0.29;0.24;0.252;0.236;0.199;0.159;;;;;;;;;;;;;;
30;FS;N5;80;0.308;0.258;0.228;0.18;0.211;0.169;0.137;0.099;;;;;;;;;;;;;;
30;CC;N3;10;0.244;0.218;0.212;0.212;0.124;0.11;0.107;0.1;;;;;;;;;;;;;;
30;CC;N3;20;0.166;0.154;0.151;0.15;0.046;0.046;0.046;0.038;;;;;;;;;;;;;;
30;CC;N3;30;0.186;0.146;0.15;0.143;0.066;0.038;0.045;0.031;;;;;;;;;;;;;;
30;CC;N3;40;0.206;0.187;0.187;0.183;0.086;0.079;0.082;0.071;;;;;;;;;;;;;;
30;CC;N3;50;0.219;0.182;0.185;0.179;0.099;0.074;0.08;0.067;;;;;;;;;;;;;;
30;CC;N3;60;0.203;0.188;0.184;0.182;0.083;0.08;0.079;0.07;;;;;;;;;;;;;;
30;CC;N3;70;0.25;0.259;0.251;0.243;0.13;0.151;0.146;0.131;;;;;;;;;;;;;;
30;CC;N3;80;0.19;0.177;0.172;0.167;0.07;0.069;0.067;0.055;;;;;;;;;;;;;;
40;FS;N5;10;0.439;0.391;0.364;0.324;0.342;0.302;0.273;0.243;;;;;;;;;;;;;;
40;FS;N5;20;0.393;0.322;0.297;0.218;0.296;0.233;0.206;0.137;;;;;;;;;;;;;;
40;FS;N5;30;0.332;0.276;0.247;0.188;0.235;0.187;0.156;0.107;;;;;;;;;;;;;;
40;FS;N5;40;0.384;0.331;0.31;0.237;0.287;0.242;0.219;0.156;;;;;;;;;;;;;;
40;FS;N5;50;0.334;0.28;0.235;0.172;0.237;0.191;0.144;0.091;;;;;;;;;;;;;;
40;FS;N5;60;0.357;0.304;0.286;0.214;0.26;0.215;0.195;0.133;;;;;;;;;;;;;;
40;FS;N5;70;0.414;0.353;0.335;0.257;0.317;0.264;0.244;0.176;;;;;;;;;;;;;;
40;FS;N5;80;0.34;0.288;0.255;0.192;0.243;0.199;0.164;0.111;;;;;;;;;;;;;;
40;CC;N3;10;0.231;0.223;0.228;0.209;0.111;0.115;0.123;0.097;;;;;;;;;;;;;;
40;CC;N3;20;0.18;0.17;0.185;0.161;0.06;0.062;0.08;0.049;;;;;;;;;;;;;;
40;CC;N3;30;0.168;0.163;0.168;0.146;0.048;0.055;0.063;0.034;;;;;;;;;;;;;;
40;CC;N3;40;0.222;0.215;0.228;0.199;0.102;0.107;0.123;0.087;;;;;;;;;;;;;;
40;CC;N3;50;0.21;0.203;0.203;0.177;0.09;0.095;0.098;0.065;;;;;;;;;;;;;;
40;CC;N3;60;0.231;0.222;0.235;0.203;0.111;0.114;0.13;0.091;;;;;;;;;;;;;;
40;CC;N3;70;0.306;0.285;0.302;0.259;0.186;0.177;0.197;0.147;;;;;;;;;;;;;;
40;CC;N3;80;0.226;0.213;0.218;0.183;0.106;0.105;0.113;0.071;;;;;;;;;;;;;;
50;FS;N5;10;0.497;0.439;0.404;0.353;0.4;0.35;0.313;0.272;;;;;;;;;;;;;;
50;FS;N5;20;0.453;0.368;0.314;0.232;0.356;0.279;0.223;0.151;;;;;;;;;;;;;;
50;FS;N5;30;0.401;0.327;0.279;0.199;0.304;0.238;0.188;0.118;;;;;;;;;;;;;;
50;FS;N5;40;0.426;0.353;0.315;0.248;0.329;0.264;0.224;0.167;;;;;;;;;;;;;;
50;FS;N5;50;0.412;0.339;0.291;0.194;0.315;0.25;0.2;0.113;;;;;;;;;;;;;;
50;FS;N5;60;0.369;0.308;0.278;0.23;0.272;0.219;0.187;0.149;;;;;;;;;;;;;;
50;FS;N5;70;0.371;0.316;0.294;0.266;0.274;0.227;0.203;0.185;;;;;;;;;;;;;;
50;FS;N5;80;0.361;0.297;0.264;0.207;0.264;0.208;0.173;0.126;;;;;;;;;;;;;;
50;CC;N3;10;0.282;0.272;0.252;0.217;0.162;0.164;0.147;0.105;;;;;;;;;;;;;;
50;CC;N3;20;0.203;0.195;0.185;0.167;0.083;0.087;0.08;0.055;;;;;;;;;;;;;;
50;CC;N3;30;0.224;0.215;0.199;0.154;0.104;0.107;0.094;0.042;;;;;;;;;;;;;;
50;CC;N3;40;0.221;0.218;0.216;0.195;0.101;0.11;0.111;0.083;;;;;;;;;;;;;;
50;CC;N3;50;0.263;0.253;0.236;0.183;0.143;0.145;0.131;0.071;;;;;;;;;;;;;;
50;CC;N3;60;0.21;0.212;0.213;0.198;0.09;0.104;0.108;0.086;;;;;;;;;;;;;;
50;CC;N3;70;0.247;0.247;0.253;0.25;0.127;0.139;0.148;0.138;;;;;;;;;;;;;;
50;CC;N3;80;0.231;0.224;0.223;0.195;0.111;0.116;0.118;0.083;;;;;;;;;;;;;;
60;FS;N5;10;0.496;0.45;0.412;0.378;0.399;0.361;0.321;0.297;;;;;;;;;;;;;;
60;FS;N5;20;0.493;0.404;0.34;0.246;0.396;0.315;0.249;0.165;;;;;;;;;;;;;;
60;FS;N5;30;0.427;0.356;0.297;0.215;0.33;0.267;0.206;0.134;;;;;;;;;;;;;;
60;FS;N5;40;0.452;0.372;0.33;0.259;0.355;0.283;0.239;0.178;;;;;;;;;;;;;;
60;FS;N5;50;0.429;0.364;0.307;0.219;0.332;0.275;0.216;0.138;;;;;;;;;;;;;;
60;FS;N5;60;0.389;0.32;0.291;0.234;0.292;0.231;0.2;0.153;;;;;;;;;;;;;;
60;FS;N5;70;0.376;0.24;0.308;0.267;0.279;0.151;0.217;0.186;;;;;;;;;;;;;;
60;FS;N5;80;0.369;0.312;0.276;0.218;0.272;0.223;0.185;0.137;;;;;;;;;;;;;;
60;CC;N3;10;0.294;0.291;0.262;0.23;0.174;0.183;0.157;0.118;;;;;;;;;;;;;;
60;CC;N3;20;0.23;0.218;0.199;0.178;0.11;0.11;0.094;0.066;;;;;;;;;;;;;;
60;CC;N3;30;0.251;0.244;0.218;0.173;0.131;0.136;0.113;0.061;;;;;;;;;;;;;;
60;CC;N3;40;0.247;0.237;0.231;0.206;0.127;0.129;0.126;0.094;;;;;;;;;;;;;;
60;CC;N3;50;0.281;0.277;0.252;0.204;0.161;0.169;0.147;0.092;;;;;;;;;;;;;;
60;CC;N3;60;0.233;0.277;0.229;0.208;0.113;0.169;0.124;0.096;;;;;;;;;;;;;;
60;CC;N3;70;0.255;0.254;0.265;0.257;0.135;0.146;0.16;0.145;;;;;;;;;;;;;;
60;CC;N3;80;0.242;0.238;0.238;0.212;0.122;0.13;0.133;0.1;;;;;;;;;;;;;;
70;FS;N5;10;0.452;0.411;0.402;0.388;0.355;0.322;0.311;0.307;;;;;;;;;;;;;;
70;FS;N5;20;0.484;0.415;0.385;0.274;0.387;0.326;0.294;0.193;;;;;;;;;;;;;;
70;FS;N5;30;0.411;0.335;0.303;0.218;0.314;0.246;0.212;0.137;;;;;;;;;;;;;;
70;FS;N5;40;0.463;0.371;0.37;0.274;0.366;0.282;0.279;0.193;;;;;;;;;;;;;;
70;FS;N5;50;0.406;0.326;0.265;0.199;0.309;0.237;0.174;0.118;;;;;;;;;;;;;;
70;FS;N5;60;0.424;0.344;0.347;0.252;0.327;0.255;0.256;0.171;;;;;;;;;;;;;;
70;FS;N5;70;0.438;0.403;0.365;0.288;0.341;0.314;0.274;0.207;;;;;;;;;;;;;;
70;FS;N5;80;0.406;0.342;0.315;0.227;0.309;0.253;0.224;0.146;;;;;;;;;;;;;;
70;CC;N3;10;0.233;0.238;0.225;0.221;0.113;0.13;0.12;0.109;;;;;;;;;;;;;;
70;CC;N3;20;0.212;0.216;0.214;0.202;0.092;0.108;0.109;0.09;;;;;;;;;;;;;;
70;CC;N3;30;0.218;0.221;0.205;0.178;0.098;0.113;0.1;0.066;;;;;;;;;;;;;;
70;CC;N3;40;0.266;0.238;0.262;0.219;0.146;0.13;0.157;0.107;;;;;;;;;;;;;;
70;CC;N3;50;0.238;0.241;0.221;0.187;0.118;0.133;0.116;0.075;;;;;;;;;;;;;;
70;CC;N3;60;0.27;0.249;0.266;0.219;0.15;0.141;0.161;0.107;;;;;;;;;;;;;;
70;CC;N3;70;0.323;0.337;0.314;0.272;0.203;0.229;0.209;0.16;;;;;;;;;;;;;;
70;CC;N3;80;0.269;0.269;0.265;0.215;0.149;0.161;0.16;0.103;;;;;;;;;;;;;;
80;FS;N5;10;0.428;0.391;0.383;0.385;0.331;0.302;0.292;0.304;;;;;;;;;;;;;;
80;FS;N5;20;0.502;0.42;0.375;0.284;0.405;0.331;0.284;0.203;;;;;;;;;;;;;;
80;FS;N5;30;0.418;0.342;0.305;0.233;0.321;0.253;0.214;0.152;;;;;;;;;;;;;;
80;FS;N5;40;0.472;0.38;0.354;0.276;0.375;0.291;0.263;0.195;;;;;;;;;;;;;;
80;FS;N5;50;0.393;0.32;0.288;0.223;0.296;0.231;0.197;0.142;;;;;;;;;;;;;;
80;FS;N5;60;0.437;0.351;0.329;0.255;0.34;0.262;0.238;0.174;;;;;;;;;;;;;;
80;FS;N5;70;0.453;0.381;0.353;0.293;0.356;0.292;0.262;0.212;;;;;;;;;;;;;;
80;FS;N5;80;0.403;0.33;0.3;0.235;0.306;0.241;0.209;0.154;;;;;;;;;;;;;;
80;CC;N3;10;0.244;0.241;0.242;0.237;0.124;0.133;0.137;0.125;;;;;;;;;;;;;;
80;CC;N3;20;0.22;0.219;0.219;0.206;0.1;0.111;0.114;0.094;;;;;;;;;;;;;;
80;CC;N3;30;0.227;0.223;0.221;0.193;0.107;0.115;0.116;0.081;;;;;;;;;;;;;;
80;CC;N3;40;0.28;0.265;0.272;0.23;0.16;0.157;0.167;0.118;;;;;;;;;;;;;;
80;CC;N3;50;0.253;0.247;0.247;0.212;0.133;0.139;0.142;0.1;;;;;;;;;;;;;;
80;CC;N3;60;0.287;0.274;0.278;0.23;0.167;0.166;0.173;0.118;;;;;;;;;;;;;;
80;CC;N3;70;0.342;0.339;0.331;0.287;0.222;0.231;0.226;0.175;;;;;;;;;;;;;;
80;CC;N3;80;0.289;0.282;0.282;0.234;0.169;0.174;0.177;0.122;;;;;;;;;;;;;;
90;FS;N5;10;0.414;0.396;0.375;0.385;0.317;0.307;0.284;0.304;;;;;;;;;;;;;;
90;FS;N5;20;0.525;0.452;0.385;0.311;0.428;0.363;0.294;0.23;;;;;;;;;;;;;;
90;FS;N5;30;0.441;0.365;0.317;0.246;0.344;0.276;0.226;0.165;;;;;;;;;;;;;;
90;FS;N5;40;0.501;0.417;0.362;0.29;0.404;0.328;0.271;0.209;;;;;;;;;;;;;;
90;FS;N5;50;0.398;0.336;0.303;0.218;0.301;0.247;0.212;0.137;;;;;;;;;;;;;;
90;FS;N5;60;0.463;0.388;0.334;0.271;0.366;0.299;0.243;0.19;;;;;;;;;;;;;;
90;FS;N5;70;0.476;0.424;0.364;0.304;0.379;0.335;0.273;0.223;;;;;;;;;;;;;;
90;FS;N5;80;0.419;0.359;0.312;0.242;0.322;0.27;0.221;0.161;;;;;;;;;;;;;;
90;CC;N3;10;0.245;0.245;0.245;0.236;0.125;0.137;0.14;0.124;;;;;;;;;;;;;;
90;CC;N3;20;0.238;0.237;0.236;0.225;0.118;0.129;0.131;0.113;;;;;;;;;;;;;;
90;CC;N3;30;0.247;0.24;0.238;0.206;0.127;0.132;0.133;0.094;;;;;;;;;;;;;;
90;CC;N3;40;0.322;0.301;0.298;0.252;0.202;0.193;0.193;0.14;;;;;;;;;;;;;;
90;CC;N3;50;0.27;0.265;0.261;0.216;0.15;0.157;0.156;0.104;;;;;;;;;;;;;;
90;CC;N3;60;0.329;0.311;0.306;0.252;0.209;0.203;0.201;0.14;;;;;;;;;;;;;;
90;CC;N3;70;0.366;0.367;0.354;0.306;0.246;0.259;0.249;0.194;;;;;;;;;;;;;;
90;CC;N3;80;0.327;0.322;0.313;0.253;0.207;0.214;0.208;0.141;;;;;;;;;;;;;;
100;FS;N5;10;0.407;0.403;0.388;0.388;0.31;0.314;0.297;0.307;;;;;;;;;;;;;;
100;FS;N5;20;0.514;0.454;0.414;0.317;0.417;0.365;0.323;0.236;;;;;;;;;;;;;;
100;FS;N5;30;0.444;0.373;0.335;0.251;0.347;0.284;0.244;0.17;;;;;;;;;;;;;;
100;FS;N5;40;0.487;0.418;0.386;0.298;0.39;0.329;0.295;0.217;;;;;;;;;;;;;;
100;FS;N5;50;0.404;0.345;0.302;0.229;0.307;0.256;0.211;0.148;;;;;;;;;;;;;;
100;FS;N5;60;0.443;0.382;0.357;0.278;0.346;0.293;0.266;0.197;;;;;;;;;;;;;;
100;FS;N5;70;0.463;0.418;0.385;0.316;0.366;0.329;0.294;0.235;;;;;;;;;;;;;;
100;FS;N5;80;0.412;0.356;0.322;0.251;0.315;0.267;0.231;0.17;;;;;;;;;;;;;;
100;CC;N3;10;0.244;0.238;0.244;0.239;0.124;0.13;0.139;0.127;;;;;;;;;;;;;;
100;CC;N3;20;0.235;0.231;0.243;0.234;0.115;0.123;0.138;0.122;;;;;;;;;;;;;;
100;CC;N3;30;0.263;0.25;0.251;0.222;0.143;0.142;0.146;0.11;;;;;;;;;;;;;;
100;CC;N3;40;0.336;0.305;0.316;0.269;0.216;0.197;0.211;0.157;;;;;;;;;;;;;;
100;CC;N3;50;0.301;0.28;0.279;0.237;0.181;0.172;0.174;0.125;;;;;;;;;;;;;;
100;CC;N3;60;0.35;0.318;0.329;0.271;0.23;0.21;0.224;0.159;;;;;;;;;;;;;;
100;CC;N3;70;0.382;0.364;0.374;0.325;0.262;0.256;0.269;0.213;;;;;;;;;;;;;;
100;CC;N3;80;0.353;0.328;0.334;0.275;0.233;0.22;0.229;0.163;;;;;;;;;;;;;;
110;FS;N5;10;0.452;0.41;0.384;0.397;0.355;0.321;0.293;0.316;;;;;;;;;;;;;;
110;FS;N5;20;0.527;0.476;0.418;0.339;0.43;0.387;0.327;0.258;;;;;;;;;;;;;;
110;FS;N5;30;0.473;0.383;0.335;0.263;0.376;0.294;0.244;0.182;;;;;;;;;;;;;;
110;FS;N5;40;0.51;0.437;0.384;0.307;0.413;0.348;0.293;0.226;;;;;;;;;;;;;;
110;FS;N5;50;0.453;0.337;0.298;0.23;0.356;0.248;0.207;0.149;;;;;;;;;;;;;;
110;FS;N5;60;0.457;0.403;0.356;0.289;0.36;0.314;0.265;0.208;;;;;;;;;;;;;;
110;FS;N5;70;0.474;0.436;0.382;0.323;0.377;0.347;0.291;0.242;;;;;;;;;;;;;;
110;FS;N5;80;0.438;0.366;0.321;0.258;0.341;0.277;0.23;0.177;;;;;;;;;;;;;;
110;CC;N3;10;0.263;0.246;0.256;0.244;0.143;0.138;0.151;0.132;;;;;;;;;;;;;;
110;CC;N3;20;0.236;0.244;0.259;0.246;0.116;0.136;0.154;0.134;;;;;;;;;;;;;;
110;CC;N3;30;0.286;0.265;0.27;0.238;0.166;0.157;0.165;0.126;;;;;;;;;;;;;;
110;CC;N3;40;0.349;0.339;0.342;0.292;0.229;0.231;0.237;0.18;;;;;;;;;;;;;;
110;CC;N3;50;0.346;0.308;0.3;0.252;0.226;0.2;0.195;0.14;;;;;;;;;;;;;;
110;CC;N3;60;0.372;0.365;0.363;0.299;0.252;0.257;0.258;0.187;;;;;;;;;;;;;;
110;CC;N3;70;0.395;0.411;0.405;0.35;0.275;0.303;0.3;0.238;;;;;;;;;;;;;;
110;CC;N3;80;0.39;0.376;0.368;0.301;0.27;0.268;0.263;0.189;;;;;;;;;;;;;;
120;FS;N5;10;0.457;0.473;0.413;0.404;0.36;0.384;0.322;0.323;;;;;;;;;;;;;;
120;FS;N5;20;0.542;0.483;0.42;0.326;0.445;0.394;0.329;0.245;;;;;;;;;;;;;;
