t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
10;CC;N1;80;0.112;0.118;0.112;0.117;0.041;0.06;0.053;0.056;;;;;;;;;;;;;;
10;CC;N2;10;0.319;0.309;0.294;0.23;0.26;0.249;0.22;0.177;;;;;;;;;;;;;;
10;CC;N2;20;0.362;0.351;0.351;0.199;0.303;0.291;0.277;0.146;;;;;;;;;;;;;;
10;CC;N2;30;0.417;0.406;0.398;0.218;0.358;0.346;0.324;0.165;;;;;;;;;;;;;;
10;CC;N2;40;0.401;0.393;0.402;0.229;0.342;0.333;0.328;0.176;;;;;;;;;;;;;;
10;CC;N2;50;0.445;0.438;0.428;0.241;0.386;0.378;0.354;0.188;;;;;;;;;;;;;;
10;CC;N2;60;0.425;0.422;0.433;0.234;0.366;0.362;0.359;0.181;;;;;;;;;;;;;;
10;CC;N2;70;0.313;0.331;0.332;0.209;0.254;0.271;0.258;0.156;;;;;;;;;;;;;;
10;CC;N2;80;0.29;0.29;0.291;0.166;0.231;0.23;0.217;0.113;;;;;;;;;;;;;;
10;CS;N1;10;0.219;0.208;0.193;0.18;0.132;0.115;0.085;0.099;;;;;;;;;;;;;;
10;CS;N1;20;0.15;0.131;0.128;0.111;0.063;0.038;0.02;0.03;;;;;;;;;;;;;;
10;CS;N1;30;0.164;0.147;0.136;0.121;0.077;0.054;0.028;0.04;;;;;;;;;;;;;;
10;CS;N1;40;0.185;0.168;0.176;0.143;0.098;0.075;0.068;0.062;;;;;;;;;;;;;;
10;CS;N1;50;0.281;0.27;0.261;0.185;0.194;0.177;0.153;0.104;;;;;;;;;;;;;;
10;CS;N1;60;0.259;0.248;0.259;0.18;0.172;0.155;0.151;0.099;;;;;;;;;;;;;;
10;CS;N1;70;0.155;0.163;0.163;0.156;0.068;0.07;0.055;0.075;;;;;;;;;;;;;;
10;CS;N1;80;0.135;0.128;0.129;0.12;0.048;0.035;0.021;0.039;;;;;;;;;;;;;;
10;CT;N4;10;0.293;0.285;0.266;0.18;0.248;0.244;0.22;0.131;;;;;;;;;;;;;;
10;CT;N4;20;0.251;0.235;0.23;0.109;0.206;0.194;0.184;0.06;;;;;;;;;;;;;;
10;CT;N4;30;0.347;0.33;0.318;0.122;0.302;0.289;0.272;0.073;;;;;;;;;;;;;;
10;CT;N4;40;0.388;0.373;0.378;0.122;0.343;0.332;0.332;0.073;;;;;;;;;;;;;;
10;CT;N4;50;0.414;0.406;0.397;0.138;0.369;0.365;0.351;0.089;;;;;;;;;;;;;;
10;CT;N4;60;0.381;0.377;0.385;0.121;0.336;0.336;0.339;0.072;;;;;;;;;;;;;;
10;CT;N4;70;0.393;0.402;0.399;0.126;0.348;0.361;0.353;0.077;;;;;;;;;;;;;;
10;CT;N4;80;0.396;0.392;0.389;0.106;0.351;0.351;0.343;0.057;;;;;;;;;;;;;;
20;CSC;N1;10;0.167;0.171;0.162;0.173;0.052;0.077;0.076;0.079;;;;;;;;;;;;;;
20;CSC;N1;20;0.112;0.111;0.111;0.122;-0.003;0.017;0.025;0.028;;;;;;;;;;;;;;
20;CSC;N1;30;0.116;0.117;0.105;0.126;0.001;0.023;0.019;0.032;;;;;;;;;;;;;;
20;CSC;N1;40;0.142;0.141;0.144;0.148;0.027;0.047;0.058;0.054;;;;;;;;;;;;;;
20;CSC;N1;50;0.146;0.153;0.131;0.158;0.031;0.059;0.045;0.064;;;;;;;;;;;;;;
20;CSC;N1;60;0.145;0.142;0.146;0.161;0.03;0.048;0.06;0.067;;;;;;;;;;;;;;
20;CSC;N1;70;0.166;0.165;0.17;0.184;0.051;0.071;0.084;0.09;;;;;;;;;;;;;;
20;CSC;N1;80;0.134;0.134;0.127;0.145;0.019;0.04;0.041;0.051;;;;;;;;;;;;;;
20;CHT;N1;10;0.162;0.172;0.16;0.175;0.084;0.094;0.076;0.109;;;;;;;;;;;;;;
20;CHT;N1;20;0.106;0.112;0.103;0.125;0.028;0.034;0.019;0.059;;;;;;;;;;;;;;
20;CHT;N1;30;0.112;0.121;0.109;0.127;0.034;0.043;0.025;0.061;;;;;;;;;;;;;;
20;CHT;N1;40;0.144;0.15;0.146;0.162;0.066;0.072;0.062;0.096;;;;;;;;;;;;;;
20;CHT;N1;50;0.132;0.146;0.127;0.152;0.054;0.068;0.043;0.086;;;;;;;;;;;;;;
20;CHT;N1;60;0.139;0.144;0.14;0.154;0.061;0.066;0.056;0.088;;;;;;;;;;;;;;
20;CHT;N1;70;0.167;0.176;0.17;0.185;0.089;0.098;0.086;0.119;;;;;;;;;;;;;;
20;CHT;N1;80;0.124;0.132;0.122;0.134;0.046;0.054;0.038;0.068;;;;;;;;;;;;;;
20;CT;N1;10;0.163;0.209;0.172;0.258;0.09;0.146;0.11;0.194;;;;;;;;;;;;;;
20;CT;N1;20;0.142;0.176;0.145;0.237;0.069;0.113;0.083;0.173;;;;;;;;;;;;;;
20;CT;N1;30;0.173;0.208;0.175;0.28;0.1;0.145;0.113;0.216;;;;;;;;;;;;;;
20;CT;N1;40;0.204;0.234;0.21;0.306;0.131;0.171;0.148;0.242;;;;;;;;;;;;;;
20;CT;N1;50;0.2;0.231;0.202;0.302;0.127;0.168;0.14;0.238;;;;;;;;;;;;;;
20;CT;N1;60;0.202;0.217;0.207;0.286;0.129;0.154;0.145;0.222;;;;;;;;;;;;;;
20;CT;N1;70;0.235;0.247;0.242;0.318;0.162;0.184;0.18;0.254;;;;;;;;;;;;;;
20;CT;N1;80;0.189;0.2;0.194;0.258;0.116;0.137;0.132;0.194;;;;;;;;;;;;;;
20;CT;N2;10;0.225;0.221;0.218;0.265;0.173;0.18;0.175;0.223;;;;;;;;;;;;;;
20;CT;N2;20;0.214;0.217;0.214;0.285;0.162;0.176;0.171;0.243;;;;;;;;;;;;;;
20;CT;N2;30;0.2;0.199;0.197;0.265;0.148;0.158;0.154;0.223;;;;;;;;;;;;;;
20;CT;N2;40;0.227;0.229;0.226;0.289;0.175;0.188;0.183;0.247;;;;;;;;;;;;;;
20;CT;N2;50;0.22;0.215;0.215;0.281;0.168;0.174;0.172;0.239;;;;;;;;;;;;;;
20;CT;N2;60;0.211;0.216;0.211;0.276;0.159;0.175;0.168;0.234;;;;;;;;;;;;;;
20;CT;N2;70;0.242;0.252;0.243;0.314;0.19;0.211;0.2;0.272;;;;;;;;;;;;;;
20;CT;N2;80;0.197;0.202;0.198;0.255;0.145;0.161;0.155;0.213;;;;;;;;;;;;;;
20;FS;N3;10;0.183;0.174;0.178;0.195;0.126;0.128;0.135;0.145;;;;;;;;;;;;;;
20;FS;N3;20;0.114;0.111;0.113;0.14;0.057;0.065;0.07;0.09;;;;;;;;;;;;;;
20;FS;N3;30;0.108;0.101;0.104;0.11;0.051;0.055;0.061;0.06;;;;;;;;;;;;;;
20;FS;N3;40;0.142;0.139;0.141;0.145;0.085;0.093;0.098;0.095;;;;;;;;;;;;;;
20;FS;N3;50;0.14;0.131;0.133;0.144;0.083;0.085;0.09;0.094;;;;;;;;;;;;;;
20;FS;N3;60;0.14;0.139;0.138;0.147;0.083;0.093;0.095;0.097;;;;;;;;;;;;;;
20;FS;N3;70;0.163;0.169;0.163;0.183;0.106;0.123;0.12;0.133;;;;;;;;;;;;;;
20;FS;N3;80;0.12;0.12;0.116;0.124;0.063;0.074;0.073;0.074;;;;;;;;;;;;;;
20;CT;N3;10;0.188;0.185;0.188;0.208;0.107;0.108;0.124;0.132;;;;;;;;;;;;;;
20;CT;N3;20;0.118;0.12;0.121;0.14;0.037;0.043;0.057;0.064;;;;;;;;;;;;;;
20;CT;N3;30;0.133;0.132;0.134;0.152;0.052;0.055;0.07;0.076;;;;;;;;;;;;;;
20;CT;N3;40;0.163;0.164;0.166;0.191;0.082;0.087;0.102;0.115;;;;;;;;;;;;;;
20;CT;N3;50;0.191;0.187;0.187;0.231;0.11;0.11;0.123;0.155;;;;;;;;;;;;;;
20;CT;N3;60;0.162;0.165;0.165;0.198;0.081;0.088;0.101;0.122;;;;;;;;;;;;;;
20;CT;N3;70;0.212;0.219;0.217;0.28;0.131;0.142;0.153;0.204;;;;;;;;;;;;;;
20;CT;N3;80;0.171;0.174;0.173;0.224;0.09;0.097;0.109;0.148;;;;;;;;;;;;;;
20;CC;N1;10;0.183;0.174;0.178;0.195;0.112;0.116;0.119;0.134;;;;;;;;;;;;;;
20;CC;N1;20;0.114;0.111;0.113;0.14;0.043;0.053;0.054;0.079;;;;;;;;;;;;;;
20;CC;N1;30;0.108;0.101;0.104;0.11;0.037;0.043;0.045;0.049;;;;;;;;;;;;;;
20;CC;N1;40;0.142;0.139;0.141;0.145;0.071;0.081;0.082;0.084;;;;;;;;;;;;;;
20;CC;N1;50;0.14;0.131;0.133;0.144;0.069;0.073;0.074;0.083;;;;;;;;;;;;;;
20;CC;N1;60;0.14;0.139;0.138;0.147;0.069;0.081;0.079;0.086;;;;;;;;;;;;;;
20;CC;N1;70;0.163;0.169;0.163;0.183;0.092;0.111;0.104;0.122;;;;;;;;;;;;;;
